iter	Logloss
0	0.6847228388
1	0.6767172357
2	0.6696326931
3	0.66242878
4	0.6559291251
5	0.6496262526
6	0.6435179053
7	0.6378504244
8	0.6331082859
9	0.6281561899
10	0.623768207
11	0.6195385626
12	0.6149666674
13	0.6111445714
14	0.6073357336
15	0.6037182568
16	0.6007317715
17	0.5974903331
18	0.5947175976
19	0.591767132
20	0.5893186456
21	0.5866050355
22	0.5840846309
23	0.5814870891
24	0.5793224954
25	0.577163887
26	0.5750315676
27	0.5730959912
28	0.5714613579
29	0.5700150758
30	0.56830329
31	0.5666239783
32	0.5650412071
33	0.5636970834
34	0.5621630543
35	0.5608111926
36	0.5595533732
37	0.5582673194
38	0.5571798589
39	0.5559215096
40	0.5548190845
41	0.5535506733
42	0.5525769013
43	0.5516419389
44	0.5505999428
45	0.54953974
46	0.5485207135
47	0.5476281049
48	0.5467295276
49	0.5459207998
50	0.5451734469
51	0.5444464649
52	0.543657181
53	0.5431990225
54	0.5426687883
55	0.5419995179
56	0.5413799707
57	0.5407328654
58	0.5401911907
59	0.5395676258
60	0.5390519917
61	0.5384155688
62	0.537843295
63	0.5373091036
64	0.5366824893
65	0.536108936
66	0.5356368534
67	0.5351924364
68	0.5346785305
69	0.5342109147
70	0.5337824855
71	0.5332220543
72	0.5327326665
73	0.5321447991
74	0.5316237312
75	0.5312296482
76	0.5307402424
77	0.5303359917
78	0.5299270044
79	0.5294087596
80	0.5290753813
81	0.5284835584
82	0.5280046971
83	0.527598511
84	0.5271468909
85	0.5268406063
86	0.5264638424
87	0.5260447137
88	0.5256915524
89	0.5253624211
90	0.525064248
91	0.5247755875
92	0.5243374466
93	0.5240328505
94	0.5236872195
95	0.5234268082
96	0.5229615948
97	0.5225227114
98	0.5220874488
99	0.5215856268
100	0.5211081464
101	0.5208531932
102	0.5203853841
103	0.5201990874
104	0.5198607558
105	0.5196733981
106	0.5194633007
107	0.5189816424
108	0.5186321768
109	0.5183638569
110	0.5181289315
111	0.5177669503
112	0.5174964752
113	0.5172277939
114	0.5169200055
115	0.5165236609
116	0.516315287
117	0.5160557351
118	0.5157987133
119	0.5155758258
120	0.5152718251
121	0.5150793086
122	0.514953759
123	0.5145994933
124	0.5143437989
125	0.5140995837
126	0.5138078544
127	0.5134394112
128	0.5132372217
129	0.5130430125
130	0.512849957
131	0.5125253546
132	0.5122444764
133	0.5119880427
134	0.5118059478
135	0.5116083376
136	0.5113802175
137	0.5110838702
138	0.510876167
139	0.510615554
140	0.5103296115
141	0.5101427788
142	0.5099377265
143	0.5096491233
144	0.5093721213
145	0.5090838192
146	0.5087911373
147	0.5085870949
148	0.508406547
149	0.5081567291
150	0.5079357794
151	0.5076261205
152	0.5073457102
153	0.5070290211
154	0.5068203754
155	0.5064944657
156	0.5062559283
157	0.5058578796
158	0.5056985278
159	0.5055300627
160	0.5052555958
161	0.5050340342
162	0.5048807499
163	0.5044916191
164	0.5043407598
165	0.5041883515
166	0.5039557788
167	0.5036745593
168	0.5034741194
169	0.5032340369
170	0.5028999434
171	0.5024503948
172	0.5023219518
173	0.5020443892
174	0.5016968348
175	0.5014689177
176	0.5012239056
177	0.5008742714
178	0.500597487
179	0.5002608099
180	0.5000355499
181	0.4998014916
182	0.4994500545
183	0.4993123181
184	0.4990964614
185	0.4988820781
186	0.4987131025
187	0.4984717888
188	0.4982095104
189	0.4979176687
190	0.4976031907
191	0.4973457494
192	0.4971829297
193	0.496875923
194	0.4967043787
195	0.4965716004
196	0.4963860922
197	0.4961355693
198	0.4959608704
199	0.4957068527
200	0.4954777314
201	0.4952238133
202	0.4949802968
203	0.4947889556
204	0.4946170539
205	0.494423023
206	0.4942725797
207	0.4939729833
208	0.4937350381
209	0.4935684365
210	0.493454879
211	0.4932834245
212	0.4928992816
213	0.492700145
214	0.492290127
215	0.4920658347
216	0.4918061934
217	0.4916275044
218	0.4912597168
219	0.4911055758
220	0.4908322672
221	0.4904589739
222	0.4902472923
223	0.4900361458
224	0.4898740658
225	0.4897012387
226	0.4893752251
227	0.4891057325
228	0.4888440291
229	0.4886723202
230	0.4884938482
231	0.4882749886
232	0.488133345
233	0.4878063433
234	0.4876598353
235	0.4874342246
236	0.4871961426
237	0.4870668568
238	0.4868933617
239	0.4867930667
240	0.4865668512
241	0.4864113845
242	0.4861759133
243	0.4859578149
244	0.4858479326
245	0.4855827304
246	0.4854190238
247	0.4853209947
248	0.4851628607
249	0.4849154009
250	0.4847996471
251	0.4846239654
252	0.4844635261
253	0.4842766059
254	0.4839662762
255	0.4837508235
256	0.4835692917
257	0.4833624157
258	0.4831602113
259	0.4829562784
260	0.4826593651
261	0.4824529229
262	0.482180041
263	0.4819313245
264	0.4816342084
265	0.4813425997
266	0.4812201748
267	0.4810309567
268	0.480808397
269	0.480644834
270	0.480431745
271	0.4802204442
272	0.4799634368
273	0.4797782413
274	0.4795763632
275	0.4790708277
276	0.4787241252
277	0.4784059594
278	0.4782570766
279	0.4780373295
280	0.4778062483
281	0.4775634994
282	0.4773414556
283	0.477170975
284	0.4767743014
285	0.4763215794
286	0.4760273178
287	0.4758491812
288	0.4756760509
289	0.4754169636
290	0.4751317038
291	0.4748766841
292	0.4747097258
293	0.4745687805
294	0.47434553
295	0.4741762515
296	0.4738789477
297	0.4735721504
298	0.4733278284
299	0.4731163947
300	0.4727451484
301	0.4725157134
302	0.4723415186
303	0.4721834589
304	0.4719929436
305	0.4717742403
306	0.4715220971
307	0.4712154653
308	0.4710980235
309	0.4709091874
310	0.47065966
311	0.4703532873
312	0.4700283576
313	0.4697629799
314	0.4696498165
315	0.4694357942
316	0.4691999424
317	0.4690537682
318	0.4688276209
319	0.4686250931
320	0.4684169669
321	0.4681941633
322	0.4678441255
323	0.467602479
