iter	Passed	Remaining
0	30	30040
1	56	28112
2	90	30228
3	111	27642
4	130	26065
5	152	25193
6	172	24512
7	193	24035
8	221	24351
9	301	29841
10	328	29496
11	353	29090
12	375	28478
13	400	28172
14	423	27783
15	448	27613
16	473	27387
17	502	27389
18	525	27127
19	546	26759
20	570	26594
21	593	26395
22	616	26204
23	640	26044
24	664	25896
25	685	25676
26	707	25490
27	730	25371
28	754	25267
29	777	25135
30	798	24960
31	818	24766
32	842	24698
33	867	24658
34	892	24611
35	917	24558
36	940	24487
37	966	24464
38	990	24416
39	1013	24331
40	1036	24235
41	1057	24117
42	1078	24004
43	1099	23882
44	1118	23730
45	1139	23635
46	1161	23543
47	1182	23460
48	1213	23551
49	1235	23480
50	1257	23399
51	1280	23348
52	1298	23204
53	1317	23085
54	1335	22948
55	1358	22896
56	1378	22803
57	1399	22727
58	1421	22664
59	1441	22586
60	1464	22551
61	1487	22498
62	1509	22456
63	1532	22411
64	1553	22351
65	1575	22299
66	1598	22257
67	1621	22220
68	1640	22140
69	1662	22086
70	1684	22039
71	1703	21957
72	1723	21881
73	1745	21839
74	1769	21820
75	1790	21774
76	1812	21724
77	1836	21706
78	1859	21674
79	1881	21632
80	1900	21563
81	1922	21521
82	1943	21476
83	1964	21423
84	1988	21407
85	2009	21354
86	2031	21316
87	2049	21241
88	2069	21178
89	2087	21111
90	2109	21072
91	2129	21013
92	2150	20971
93	2173	20948
94	2199	20949
95	2220	20906
96	2241	20870
97	2260	20808
98	2280	20755
99	2301	20714
100	2321	20666
101	2342	20627
102	2365	20596
103	2385	20555
104	2407	20523
105	2427	20474
106	2450	20452
107	2471	20413
108	2491	20365
109	2512	20328
110	2532	20282
111	2552	20235
112	2572	20196
113	2594	20162
114	2614	20117
115	2635	20084
116	2653	20027
117	2676	20002
118	2694	19950
119	2716	19918
120	2736	19878
121	2754	19826
122	2775	19787
123	2794	19742
124	2813	19697
125	2835	19671
126	2857	19643
127	2878	19606
128	2897	19564
129	2919	19539
130	2939	19499
131	2961	19471
132	2984	19453
133	3004	19414
134	3025	19382
135	3048	19369
136	3066	19319
137	3085	19275
138	3106	19244
139	3126	19203
140	3148	19178
141	3169	19151
142	3188	19106
143	3208	19071
144	3227	19031
145	3246	18990
146	3269	18972
147	3292	18952
148	3311	18913
149	3331	18877
150	3353	18854
151	3373	18822
152	3393	18788
153	3415	18765
154	3435	18731
155	3456	18701
156	3479	18683
157	3503	18669
158	3526	18651
159	3545	18614
160	3561	18561
161	3583	18534
162	3605	18512
163	3629	18503
164	3649	18470
165	3670	18440
166	3691	18414
167	3714	18397
168	3734	18365
169	3754	18328
170	3769	18273
171	3786	18226
172	3801	18174
173	3816	18119
174	3830	18059
175	3846	18007
176	3860	17951
177	3875	17898
178	3891	17848
179	3905	17790
180	3920	17739
181	3934	17685
182	3948	17627
183	3963	17575
184	3977	17524
185	3990	17465
186	4005	17414
187	4021	17369
188	4035	17318
189	4050	17269
190	4065	17218
191	4079	17166
192	4093	17116
193	4109	17071
194	4124	17026
195	4137	16970
196	4151	16922
197	4166	16876
198	4179	16824
199	4194	16779
200	4210	16737
201	4251	16795
202	4266	16749
203	4279	16699
204	4292	16645
205	4304	16590
206	4317	16540
207	4332	16498
208	4349	16462
209	4366	16424
210	4379	16377
211	4393	16330
212	4408	16289
213	4425	16252
214	4439	16210
215	4452	16160
216	4468	16122
217	4484	16085
218	4499	16045
219	4512	16000
220	4537	15995
221	4552	15955
222	4568	15918
223	4583	15877
224	4598	15839
225	4613	15799
226	4630	15767
227	4649	15744
228	4670	15726
229	4688	15697
230	4711	15684
231	4730	15659
232	4749	15635
233	4764	15597
234	4779	15558
235	4793	15517
236	4806	15474
237	4822	15439
238	4837	15403
239	4849	15356
240	4864	15318
241	4881	15288
242	4895	15249
243	4909	15211
244	4923	15173
245	4937	15134
246	4951	15094
247	4964	15052
248	4976	15009
249	4991	14974
250	5004	14934
251	5020	14900
252	5034	14865
253	5048	14828
254	5062	14790
255	5077	14757
256	5093	14724
257	5108	14692
258	5123	14656
259	5138	14623
260	5150	14584
261	5165	14549
262	5179	14514
263	5194	14482
264	5209	14448
265	5225	14418
266	5239	14383
267	5252	14345
268	5266	14311
269	5280	14277
270	5293	14240
271	5308	14208
272	5323	14176
273	5338	14144
274	5350	14106
275	5368	14081
276	5383	14051
277	5399	14023
278	5413	13990
279	5433	13972
280	5449	13944
281	5463	13910
282	5494	13920
283	5507	13886
284	5525	13862
285	5539	13828
286	5553	13795
287	5567	13764
288	5581	13731
289	5606	13725
290	5626	13708
291	5639	13674
292	5654	13643
293	5669	13614
294	5683	13581
295	5698	13552
296	5713	13523
297	5729	13496
298	5745	13471
299	5762	13445
300	5778	13418
301	5791	13386
302	5811	13368
303	5827	13342
304	5840	13309
305	5856	13282
306	5871	13254
307	5889	13231
308	5903	13202
309	5916	13168
310	5929	13136
311	5945	13109
312	5960	13082
313	5974	13051
314	5987	13020
315	6006	13001
316	6020	12972
317	6037	12947
318	6056	12929
319	6072	12903
320	6085	12873
321	6099	12842
322	6113	12814
323	6127	12785
