iter	Passed	Remaining
0	18	18955
1	34	17373
2	48	16093
3	62	15578
4	76	15213
5	89	14780
6	102	14604
7	120	14906
8	136	14993
9	150	14923
10	166	14931
11	179	14783
12	193	14663
13	206	14534
14	229	15092
15	258	15905
16	274	15895
17	293	16004
18	310	16050
19	327	16060
20	343	16000
21	360	16013
22	377	16030
23	395	16088
24	413	16113
25	431	16150
26	448	16169
27	463	16077
28	478	16031
29	494	15975
30	510	15965
31	526	15921
32	540	15836
33	555	15782
34	568	15679
35	582	15587
36	594	15482
37	607	15371
38	621	15304
39	634	15221
40	647	15145
41	660	15058
42	674	15005
43	686	14922
44	700	14868
45	713	14794
46	728	14770
47	741	14704
48	754	14643
49	766	14566
50	779	14502
51	792	14443
52	804	14383
53	819	14352
54	832	14306
55	846	14271
56	861	14256
57	874	14195
58	887	14147
59	903	14156
60	918	14131
61	931	14098
62	945	14055
63	958	14014
64	977	14054
65	990	14014
66	1002	13958
67	1016	13929
68	1029	13885
69	1042	13846
70	1057	13830
71	1070	13796
72	1082	13751
73	1095	13711
74	1109	13677
75	1123	13656
76	1137	13638
77	1154	13644
78	1167	13611
79	1180	13573
80	1193	13539
81	1207	13521
82	1224	13527
83	1238	13502
84	1252	13481
85	1266	13456
86	1278	13421
87	1292	13391
88	1315	13464
89	1328	13431
90	1341	13405
91	1354	13368
92	1368	13346
93	1381	13317
94	1394	13287
95	1409	13276
96	1427	13288
97	1447	13326
98	1461	13305
99	1473	13264
100	1501	13364
101	1518	13371
102	1532	13343
103	1546	13320
104	1559	13291
105	1572	13258
106	1584	13227
107	1596	13183
108	1610	13165
109	1625	13151
110	1640	13139
111	1653	13108
112	1666	13084
113	1682	13076
114	1700	13090
115	1719	13107
116	1735	13098
117	1761	13167
118	1776	13152
119	1790	13130
120	1805	13112
121	1818	13090
122	1834	13079
123	1847	13055
124	1863	13043
125	1875	13011
126	1889	12985
127	1903	12970
128	1932	13049
129	1949	13045
130	1967	13051
131	1981	13033
132	1995	13011
133	2009	12983
134	2024	12969
135	2036	12940
136	2049	12907
137	2063	12886
138	2078	12873
139	2091	12850
140	2105	12830
141	2134	12895
142	2146	12864
143	2159	12839
144	2174	12820
145	2186	12791
146	2202	12781
147	2214	12749
148	2228	12725
149	2246	12729
150	2261	12713
151	2273	12685
152	2287	12662
153	2309	12686
154	2322	12660
155	2335	12634
156	2348	12611
157	2361	12585
158	2374	12559
159	2386	12531
160	2400	12508
161	2419	12517
162	2433	12496
163	2448	12479
164	2461	12457
165	2475	12434
166	2488	12410
167	2501	12389
168	2515	12368
169	2530	12355
170	2545	12342
171	2559	12321
172	2572	12297
173	2588	12290
174	2603	12275
175	2617	12254
176	2631	12237
177	2646	12221
178	2658	12195
179	2671	12168
180	2683	12142
181	2696	12120
182	2710	12101
183	2727	12097
184	2741	12076
185	2754	12056
186	2768	12037
187	2782	12017
188	2796	12001
189	2810	11983
190	2840	12031
191	2865	12058
192	2880	12043
193	2895	12029
194	2913	12028
195	2928	12014
196	2942	11992
197	2958	11981
198	2975	11978
199	2991	11964
200	3012	11974
201	3026	11955
202	3041	11940
203	3055	11921
204	3067	11896
205	3080	11872
206	3094	11853
207	3108	11835
208	3125	11829
209	3138	11804
210	3151	11784
211	3163	11759
212	3177	11741
213	3191	11721
214	3233	11805
215	3252	11804
216	3269	11795
217	3285	11787
218	3302	11779
219	3319	11770
220	3336	11760
221	3354	11756
222	3372	11750
223	3389	11741
224	3405	11731
225	3422	11721
226	3438	11710
227	3455	11701
228	3471	11688
229	3484	11666
230	3498	11645
231	3511	11623
232	3524	11601
233	3538	11584
234	3551	11560
235	3564	11539
236	3577	11516
237	3593	11503
238	3606	11482
239	3620	11464
240	3637	11454
241	3649	11429
242	3662	11409
243	3676	11390
244	3690	11372
245	3704	11353
246	3719	11340
247	3737	11333
248	3750	11312
249	3763	11291
250	3778	11274
251	3794	11262
252	3807	11240
253	3820	11221
254	3836	11208
255	3849	11186
256	3863	11169
257	3876	11149
258	3891	11133
259	3909	11126
260	3923	11109
261	3938	11093
262	3950	11071
263	3968	11063
264	3989	11064
265	4010	11066
266	4036	11082
267	4054	11075
268	4083	11096
269	4098	11079
270	4114	11067
271	4131	11058
272	4149	11049
273	4166	11038
274	4184	11030
275	4199	11015
276	4214	11000
277	4230	10987
278	4243	10965
279	4256	10945
280	4273	10935
