iter	Passed	Remaining
0	14	14650
1	29	14501
2	42	14012
3	54	13602
4	70	13974
5	84	14014
6	97	13881
7	112	13897
8	126	13936
9	139	13857
10	156	14031
11	169	13933
12	184	14023
13	197	13906
14	211	13865
15	225	13889
16	238	13773
17	250	13686
18	267	13790
19	281	13772
20	295	13792
21	309	13779
22	324	13789
23	337	13706
24	350	13664
25	366	13728
26	379	13679
27	394	13699
28	408	13686
29	426	13787
30	440	13757
31	454	13747
32	468	13735
33	482	13700
34	494	13646
35	511	13706
36	534	13900
37	556	14083
38	571	14079
39	584	14028
40	597	13981
41	611	13945
42	624	13908
43	637	13857
44	652	13837
45	667	13833
46	679	13784
47	695	13798
48	709	13774
49	723	13741
50	735	13683
51	748	13644
52	763	13638
53	788	13821
54	802	13791
55	815	13752
56	828	13709
57	841	13670
58	853	13617
59	866	13582
60	881	13572
61	894	13539
62	909	13528
63	924	13520
64	938	13502
65	951	13466
66	965	13440
67	978	13416
68	991	13382
69	1005	13359
70	1018	13323
71	1031	13298
72	1045	13278
73	1058	13249
74	1073	13240
75	1087	13224
76	1100	13196
77	1113	13165
78	1128	13155
79	1142	13138
80	1158	13144
81	1174	13154
82	1190	13148
83	1204	13136
84	1221	13148
85	1236	13137
86	1252	13145
87	1268	13143
88	1283	13135
89	1299	13136
90	1316	13151
91	1331	13142
92	1347	13140
93	1363	13137
94	1379	13142
95	1397	13156
96	1417	13191
97	1434	13201
98	1451	13212
99	1469	13227
100	1484	13211
101	1497	13184
102	1512	13176
103	1529	13173
104	1545	13170
105	1558	13144
106	1574	13138
107	1588	13121
108	1602	13099
109	1617	13083
110	1632	13071
111	1647	13058
112	1672	13131
113	1691	13142
114	1710	13166
115	1730	13189
116	1751	13218
117	1772	13251
118	1794	13281
119	1814	13307
120	1833	13322
121	1852	13331
122	1874	13366
123	1895	13390
124	1912	13387
125	1926	13359
126	1939	13334
127	1955	13318
128	1968	13292
129	1982	13267
130	1995	13238
131	2009	13213
132	2024	13195
133	2037	13168
134	2049	13129
135	2061	13098
136	2076	13079
137	2089	13051
138	2102	13024
139	2114	12991
140	2128	12965
141	2140	12935
142	2153	12904
143	2166	12879
144	2180	12856
145	2195	12841
146	2209	12823
147	2222	12793
148	2236	12776
149	2249	12749
150	2263	12728
151	2278	12710
152	2291	12684
153	2305	12663
154	2319	12644
155	2332	12620
156	2346	12599
157	2360	12581
158	2379	12583
159	2393	12564
160	2406	12542
161	2419	12517
162	2434	12502
163	2447	12473
164	2459	12445
165	2475	12435
166	2489	12416
167	2506	12414
168	2520	12395
169	2535	12378
170	2549	12357
171	2567	12358
172	2583	12349
