iter	Logloss
0	0.684619272
1	0.676847985
2	0.6698012782
3	0.663158158
4	0.6566129073
5	0.6506996893
6	0.6447333986
7	0.639500206
8	0.6349152836
9	0.6300729599
10	0.6256183288
11	0.6212926918
12	0.6167981026
13	0.6130544378
14	0.6092221783
15	0.6057037646
16	0.6026090475
17	0.5995264857
18	0.5968132544
19	0.5939527354
20	0.5916343491
21	0.5890192533
22	0.5864090917
23	0.5839604676
24	0.5818948076
25	0.5797681946
26	0.5777690425
27	0.5758434614
28	0.5740717429
29	0.5724308275
30	0.5708162902
31	0.5690407122
32	0.5675591675
33	0.5662607965
34	0.5647869045
35	0.5634856258
36	0.562183141
37	0.5610542449
38	0.5599387604
39	0.5587018856
40	0.5576896853
41	0.5565393285
42	0.5555300919
43	0.5545821326
44	0.5535132113
45	0.5524803502
46	0.5517703987
47	0.5509029131
48	0.5498463681
49	0.5490595096
50	0.5483065072
51	0.5475946413
52	0.5468305173
53	0.5460507159
54	0.5454634193
55	0.544871824
56	0.5443120774
57	0.5435048862
58	0.542946326
59	0.5422367733
60	0.5416203965
61	0.5410648743
62	0.5404210032
63	0.5398796147
64	0.5393092144
65	0.5386521106
66	0.5381695966
67	0.5376500401
68	0.5371999392
69	0.5366619868
70	0.5362516426
71	0.5358165631
72	0.5352054094
73	0.5347722624
74	0.5341101404
75	0.5336240962
76	0.5331630998
77	0.5327057139
78	0.5321932979
79	0.5317393667
80	0.5313298816
81	0.530988374
82	0.5305737321
83	0.530072987
84	0.5295499147
85	0.5291713351
86	0.52875459
87	0.5284175952
88	0.5281199051
89	0.527649734
90	0.527425426
91	0.527160087
92	0.5267704497
93	0.5264856213
94	0.5259529015
95	0.5255809575
96	0.525278149
97	0.5249270708
98	0.5246090236
99	0.5242863175
100	0.5238991194
101	0.5236508297
102	0.5230938257
103	0.5229115702
104	0.5226075975
105	0.5222755569
106	0.5220764526
107	0.5217167378
108	0.5213385329
109	0.521066792
110	0.5207845786
111	0.5205196156
112	0.5202113375
113	0.5199369762
114	0.5197331123
115	0.5192447856
116	0.5189550991
117	0.5185778036
118	0.5183373568
119	0.5181793834
120	0.5178986061
121	0.5177249929
122	0.5174873555
123	0.5172392533
124	0.5169783967
125	0.5167472328
126	0.5162763516
127	0.5159953778
128	0.5157721628
129	0.5155094371
130	0.5152103403
131	0.5149721236
132	0.5146307121
133	0.5143715283
134	0.5141596808
135	0.5140023401
136	0.5138460846
137	0.513635901
138	0.5133322445
139	0.5131482324
140	0.5128553502
141	0.5125894458
142	0.5121921849
143	0.5119622047
144	0.5116759345
145	0.5114405343
146	0.5111759299
147	0.5109422361
148	0.5106364399
149	0.5104236919
150	0.5102236652
151	0.5100365994
152	0.5096888218
153	0.5092621955
154	0.5089213266
155	0.5086855617
156	0.5083841722
157	0.5079868709
158	0.5078084877
159	0.5075401977
160	0.5072905029
161	0.5071362819
162	0.5068293775
163	0.5065172551
164	0.5062633895
165	0.506027374
166	0.5058357986
167	0.5054836459
168	0.505237901
169	0.5048600497
170	0.5046497909
171	0.5043574355
172	0.5042236861
