iter	Logloss
0	0.6580410918
1	0.6260302655
2	0.5964799311
3	0.5687992971
4	0.5439251318
5	0.5226054766
6	0.5018350214
7	0.4825500059
8	0.4647121412
9	0.4481239412
10	0.4331785811
11	0.419522743
12	0.4069741749
13	0.3951919628
14	0.3836855751
15	0.3737803168
16	0.3650481855
17	0.3567946691
18	0.3491341827
19	0.3417683591
20	0.3352614004
21	0.3292146548
22	0.3236184016
23	0.3184779117
24	0.3136528134
25	0.309036923
26	0.3043682722
27	0.300595148
28	0.2973995469
29	0.2938666809
30	0.290920863
31	0.2878300667
32	0.285305302
33	0.2828232107
34	0.2804959576
35	0.2783616441
36	0.2761605979
37	0.2739204865
38	0.2721068295
39	0.2705129538
40	0.2689769975
41	0.2673854521
42	0.2660577534
43	0.2647129852
44	0.2634048649
45	0.2623474798
46	0.2611451584
47	0.2600258166
48	0.259152015
49	0.2581571259
50	0.2573079696
51	0.256261505
52	0.2555922564
53	0.2548088878
54	0.2540507778
55	0.2533245504
56	0.2526225528
57	0.2520329707
58	0.2513325903
59	0.2507781348
60	0.2502867482
61	0.2496665412
62	0.2490662861
63	0.2486513506
64	0.2481558087
65	0.2476290083
66	0.2473288166
67	0.2470001957
68	0.2466762219
69	0.2462974263
70	0.2459969642
71	0.2457070287
72	0.2454451265
73	0.24510547
74	0.2447663373
75	0.2444825285
76	0.2442138138
77	0.2440180423
78	0.2438557587
79	0.2435850441
80	0.2432363343
81	0.2429798808
82	0.2426563347
83	0.2424286259
84	0.242283598
85	0.242064982
86	0.2418833121
87	0.24168302
88	0.2414714439
89	0.2412749148
90	0.2410884718
91	0.2408985431
92	0.240735417
93	0.2405845641
94	0.2404583219
95	0.2402666994
96	0.2400727208
97	0.2399430659
98	0.2398370013
99	0.2397319255
100	0.2395071564
101	0.2394034759
102	0.2392149977
103	0.2390552844
104	0.2389316515
105	0.2387446909
106	0.2386556108
107	0.2384932604
108	0.2383571621
109	0.2382238735
110	0.2381222027
111	0.2379873573
112	0.2378974448
113	0.2377938757
114	0.2376149803
115	0.2373560943
116	0.2372546212
117	0.2371574772
118	0.2369217853
119	0.2366867225
120	0.2364625742
121	0.2363372795
122	0.2362745672
123	0.2361936583
124	0.236088242
125	0.2359826281
126	0.2358952445
127	0.2358151479
128	0.2357063077
129	0.2356289269
130	0.2355045874
131	0.2354279803
132	0.235368611
133	0.235183663
134	0.2350955828
135	0.2349714778
136	0.234886429
137	0.2347254187
138	0.2346374318
139	0.2344912612
140	0.2344181729
141	0.2343398722
142	0.2342584233
143	0.2341805074
144	0.2340996279
145	0.234027702
146	0.2339489896
147	0.2338717269
148	0.2338088048
149	0.233736595
150	0.2336764004
151	0.2335929389
152	0.233520739
153	0.2334568293
154	0.2334038107
155	0.2332775178
156	0.2331135561
157	0.2330449381
158	0.2329519781
159	0.2328875132
160	0.2328066982
161	0.2327664235
162	0.2327077381
163	0.2326437726
164	0.2325982963
165	0.2324886504
166	0.2324208173
167	0.2323699372
168	0.2322538669
169	0.2321934222
170	0.2321438107
171	0.2320777473
172	0.2320029878
173	0.2319389448
174	0.2318958082
175	0.2318188389
176	0.2317420654
177	0.2316627617
178	0.2316175658
179	0.2315397697
180	0.2314929485
181	0.2314021347
182	0.2313631821
183	0.2313123181
184	0.2312188834
185	0.231167162
186	0.2311246329
187	0.2310753377
188	0.2309873378
189	0.2309240015
190	0.2308528502
191	0.2307777749
192	0.2307165593
193	0.2306325592
194	0.2305111227
195	0.2304448431
196	0.2303982811
197	0.2303273501
198	0.2302522286
199	0.2302038851
200	0.2301404544
201	0.2301117191
202	0.2300701455
203	0.2300123045
204	0.2299714183
205	0.2299243271
206	0.2298627339
207	0.2298287245
208	0.2297671473
209	0.229721931
210	0.2296617958
211	0.2296163261
212	0.2295669803
213	0.229512058
214	0.2294453124
215	0.2293520656
216	0.2293078198
217	0.2292604105
218	0.2292049917
219	0.2291673703
220	0.229118146
221	0.2290499543
222	0.2290021381
223	0.2289560165
224	0.2289180078
225	0.2288628607
226	0.2288023929
227	0.2286927
228	0.2286582798
229	0.2286144101
230	0.2284828273
231	0.2284371957
232	0.2283979016
233	0.2283449056
234	0.2282891402
235	0.2282297886
236	0.2281862388
237	0.228076833
238	0.228029296
239	0.2279914452
240	0.227945933
241	0.2279041043
242	0.2278669769
243	0.227775593
244	0.2277357183
245	0.2276827344
246	0.2276578632
247	0.2276300545
248	0.2275423011
249	0.2274695698
250	0.2274453628
251	0.2273772797
252	0.2273351432
253	0.2273036912
254	0.2272817988
255	0.2272080816
256	0.2271516844
257	0.2271091047
258	0.2270428588
259	0.2269820811
260	0.2269223268
261	0.2268371923
262	0.226788571
263	0.2267366791
264	0.2266907766
265	0.226647725
266	0.2265801079
267	0.2265315859
268	0.2264914626
269	0.2264569168
270	0.2264097051
271	0.2263638448
272	0.2263206381
273	0.2262726095
274	0.2262215588
275	0.2261652133
276	0.2261299736
277	0.226086086
278	0.2260218712
279	0.2259740917
280	0.2258710201
281	0.2258128794
282	0.2257697558
283	0.2257346394
284	0.2256934867
285	0.2256547163
286	0.2256340881
287	0.2255048761
288	0.2254598169
289	0.225413005
290	0.225356358
291	0.2253019246
292	0.2252547279
293	0.2251724002
294	0.225143747
295	0.2250957074
296	0.2250622109
297	0.2250368411
298	0.2249949712
299	0.2249112192
300	0.2248625605
301	0.2247933652
302	0.2247574297
303	0.2246666662
304	0.2246326937
305	0.224606121
306	0.2245663827
307	0.2245349712
308	0.2245160025
309	0.2244812525
310	0.2244082211
311	0.2243798815
312	0.2243362427
313	0.2243018869
314	0.2242623719
315	0.2241845007
316	0.2241594497
317	0.2241245671
318	0.2240272969
319	0.2239835697
320	0.2239332856
321	0.2238878506
322	0.2238550475
323	0.2238155619
324	0.2237826557
325	0.2237521696
326	0.2236914357
327	0.2236594487
328	0.2236305514
329	0.2235655298
330	0.2235227984
331	0.2234862526
332	0.2234653965
333	0.2234204308
334	0.2233780541
335	0.2233386344
336	0.2233147532
337	0.2232845056
338	0.2232520556
339	0.2232077365
340	0.2231282025
341	0.2230969229
342	0.2230373392
343	0.2229721587
344	0.2229403739
345	0.2228999266
346	0.222871685
347	0.2228364787
348	0.2228122868
349	0.2227813399
350	0.2227457392
351	0.2227125446
352	0.2226510097
353	0.2225474589
354	0.2225093221
355	0.22248753
356	0.2224537609
357	0.2224123801
358	0.2223723253
359	0.2223426338
360	0.2223000218
361	0.2222708518
362	0.2221689145
363	0.2220153332
364	0.2219588044
365	0.2219061773
366	0.2218755975
367	0.2218549611
368	0.2217849527
369	0.2216753426
370	0.2216458312
371	0.2216114425
372	0.2215846389
373	0.22154464
374	0.2215134682
375	0.221417328
376	0.221305925
377	0.2212730124
378	0.221245404
379	0.2212162152
380	0.2211813725
381	0.2211283153
382	0.2210900412
383	0.2209957115
384	0.2209612642
385	0.2208768349
386	0.2208416328
387	0.2207987487
388	0.2207733112
389	0.2207448274
390	0.2207141745
391	0.2206680155
392	0.2206068456
393	0.2205812772
394	0.2205138174
395	0.2204810455
396	0.2204394488
397	0.2203457623
398	0.2202968951
399	0.2202535498
400	0.2202193983
401	0.2201957962
402	0.2201689772
403	0.2201419552
404	0.2201130641
405	0.2200715169
406	0.2200457824
407	0.2200096744
408	0.219957104
409	0.2198847241
410	0.2198570131
411	0.2197936902
412	0.2197537621
413	0.2197146011
414	0.2196863612
415	0.2196696051
416	0.2196361628
417	0.219605053
418	0.2195617334
419	0.219520905
420	0.2194469561
421	0.2194145979
422	0.2193892885
423	0.2193550908
424	0.2193035005
425	0.2192719986
426	0.21923389
427	0.2191937723
428	0.219147554
429	0.2191097226
430	0.2190731458
431	0.2190413844
432	0.2190112678
433	0.2189742341
434	0.2189419504
435	0.2189153511
436	0.2188784261
437	0.2188502229
438	0.2188236315
439	0.2187132481
440	0.2186857266
