iter	Logloss
0	0.6845432622
1	0.6765042928
2	0.6695420111
3	0.6628259771
4	0.6561304851
5	0.6499482092
6	0.6439487585
7	0.6382885756
8	0.6334899455
9	0.6285299958
10	0.6240098348
11	0.619717387
12	0.6155290864
13	0.6115329751
14	0.6077433664
15	0.6041782755
16	0.6010582278
17	0.5979448082
18	0.5950847961
19	0.5921124366
20	0.5893637117
21	0.5869664741
22	0.5843562159
23	0.5819757384
24	0.5798773507
25	0.5776209028
26	0.5758554716
27	0.5740700081
28	0.5726301376
29	0.5709588208
30	0.5693931164
31	0.5679108244
32	0.5665746575
33	0.565138249
34	0.5636642604
35	0.5623784339
36	0.5610933124
37	0.5598361422
38	0.5589025126
39	0.5576690292
40	0.5564470435
41	0.5553368389
42	0.5542543403
43	0.5532929649
44	0.5523393149
45	0.5514325549
46	0.5503884578
47	0.5495713827
48	0.5487452233
49	0.5479719113
50	0.5469640627
51	0.546213778
52	0.5453532026
53	0.5445925461
54	0.5438623892
55	0.543078408
56	0.5423744497
57	0.5416986267
58	0.5410608933
59	0.5405094031
60	0.5398911194
61	0.5392822288
62	0.5385164833
63	0.5380200013
64	0.5376234435
65	0.5371614131
66	0.5366205761
67	0.5360533314
68	0.5355648936
69	0.534981951
70	0.5345477298
71	0.5340114775
72	0.5335330169
73	0.532879778
74	0.5322218147
75	0.5317187838
76	0.5312030863
77	0.5307535008
78	0.5301808694
79	0.5298163775
80	0.5294448309
81	0.5290122452
82	0.5285906681
83	0.5281884574
84	0.5276157799
85	0.527118372
86	0.5268159304
87	0.5264853664
88	0.526125313
89	0.5257381437
90	0.5254608134
91	0.5251259588
92	0.5246665142
93	0.524126928
94	0.5235906294
95	0.5233316627
96	0.5231273975
97	0.522816917
98	0.5225003887
99	0.522206536
100	0.5219267962
101	0.5215503631
102	0.5210919119
103	0.520573501
104	0.5202643586
105	0.5200196346
106	0.5195581049
107	0.5192126309
108	0.5190105494
109	0.5187806738
110	0.5185594815
111	0.5183158621
112	0.5180374466
113	0.5176441252
114	0.5173405441
115	0.5170343165
116	0.5166410241
117	0.5162337077
118	0.5159913119
119	0.5156223072
120	0.5153120357
121	0.5151064334
122	0.5149539743
123	0.5146197833
124	0.5143599835
125	0.5141007012
126	0.5138557733
127	0.5135376815
128	0.5132477147
129	0.5129653349
130	0.512760285
131	0.5125650454
132	0.5121789449
133	0.5118602119
134	0.5115238101
135	0.5112913453
136	0.510939885
137	0.5106511183
138	0.5104680316
139	0.5101342457
140	0.5099432371
141	0.5096064326
142	0.509342953
143	0.5091922215
144	0.5089699554
145	0.5086756573
146	0.5084980315
147	0.5083071217
148	0.5079398437
149	0.5077407602
150	0.5076234505
151	0.5074388069
152	0.5071075668
153	0.5069208304
154	0.5067036659
155	0.5063748511
156	0.5060662066
157	0.5058448287
158	0.5055111083
159	0.5052391262
160	0.5049898925
161	0.5047138036
162	0.5043171536
163	0.5040992278
164	0.503767211
165	0.5034841688
166	0.5031391809
167	0.5028981144
168	0.5026145809
169	0.5023393462
170	0.5021780481
171	0.5020061762
172	0.5017009357
173	0.5015516538
174	0.5011800308
175	0.5007666742
176	0.5005661694
177	0.5001954032
178	0.4999594959
179	0.4996158266
180	0.499323695
181	0.498988302
182	0.4987575498
183	0.498618664
184	0.4981510399
185	0.4979262146
186	0.497642936
187	0.4974758313
188	0.4972520473
189	0.496960535
190	0.4968326304
191	0.4967304643
192	0.4966557873
193	0.4965020094
194	0.4962340034
195	0.4961405067
196	0.4959640611
197	0.495742449
198	0.4954776
199	0.495316498
200	0.4949677107
201	0.494663687
202	0.4944754945
203	0.4942005837
204	0.4938693941
205	0.4936230723
206	0.4933274447
207	0.4931997577
208	0.4929921932
209	0.4927449898
210	0.4925479163
211	0.4922793255
212	0.4919811916
213	0.4918073769
214	0.4916590654
215	0.4914776052
216	0.4911718166
217	0.4909478975
218	0.4906182946
219	0.4903953874
220	0.4902147153
221	0.4899976903
222	0.4897828043
223	0.4895327003
224	0.4893817854
225	0.4892692354
226	0.4890595359
227	0.4885971074
228	0.4882526314
229	0.4881050206
230	0.4878853782
231	0.4876587019
232	0.4874979314
233	0.48720225
234	0.4869781654
235	0.4867961052
236	0.4866083481
237	0.4864238751
238	0.4860349432
239	0.4858280469
240	0.4856353283
241	0.4854696661
242	0.4852610853
243	0.4850387141
