iter	Passed	Remaining
0	18	18325
1	31	15803
2	46	15546
3	59	14749
4	73	14623
5	87	14513
6	101	14377
7	116	14433
8	130	14317
9	144	14319
10	166	14958
11	181	14966
12	201	15292
13	215	15206
14	230	15121
15	245	15090
16	258	14931
17	273	14915
18	285	14765
19	300	14734
20	317	14795
21	330	14674
22	344	14638
23	362	14731
24	375	14658
25	389	14589
26	448	16153
27	474	16480
28	488	16343
29	502	16258
30	516	16154
31	530	16057
32	544	15947
33	559	15910
34	575	15877
35	590	15824
36	609	15869
37	623	15783
38	637	15696
39	651	15631
40	665	15563
41	679	15493
42	693	15433
43	706	15358
44	720	15284
45	734	15223
46	747	15154
47	760	15077
48	774	15031
49	787	14960
50	800	14902
51	815	14868
52	829	14817
53	842	14760
54	857	14737
55	872	14715
56	887	14684
57	901	14645
58	915	14595
59	928	14545
60	942	14501
61	955	14454
62	969	14412
63	982	14367
64	995	14313
65	1008	14271
66	1021	14225
67	1033	14165
68	1046	14120
69	1062	14116
70	1075	14074
71	1089	14040
72	1108	14070
73	1129	14130
74	1147	14150
75	1161	14118
76	1175	14088
77	1190	14074
78	1205	14057
79	1218	14016
80	1231	13977
81	1247	13968
82	1261	13934
83	1273	13890
84	1288	13865
85	1305	13875
86	1320	13858
87	1333	13815
88	1346	13780
89	1360	13755
90	1372	13710
91	1403	13847
92	1419	13845
93	1434	13829
94	1449	13811
95	1464	13789
96	1477	13753
97	1490	13722
98	1506	13706
99	1524	13719
100	1537	13688
101	1551	13655
102	1565	13634
103	1579	13603
104	1592	13573
105	1607	13558
106	1621	13530
107	1634	13503
108	1648	13472
109	1662	13447
110	1675	13421
111	1687	13381
112	1702	13366
113	1717	13350
114	1735	13353
115	1748	13322
116	1763	13312
117	1777	13282
118	1789	13245
119	1803	13226
120	1818	13212
121	1831	13182
122	1889	13475
123	1951	13787
124	1964	13750
125	1977	13720
126	1990	13684
127	2005	13660
128	2019	13635
129	2032	13604
130	2045	13568
131	2058	13535
132	2071	13505
133	2084	13473
134	2100	13457
135	2114	13431
136	2127	13401
137	2140	13371
138	2154	13345
139	2167	13312
140	2179	13279
141	2194	13258
142	2215	13274
143	2227	13243
144	2240	13213
145	2255	13192
146	2268	13165
147	2281	13132
148	2294	13107
149	2308	13083
150	2322	13059
151	2335	13030
152	2351	13017
153	2364	12989
154	2377	12963
155	2393	12950
156	2407	12926
157	2421	12906
158	2435	12879
159	2449	12861
160	2463	12839
161	2477	12814
162	2489	12784
163	2503	12764
164	2518	12745
165	2532	12724
166	2547	12706
167	2560	12681
168	2574	12660
169	2587	12633
170	2602	12618
171	2616	12597
172	2632	12585
173	2647	12569
174	2663	12557
175	2676	12531
176	2689	12503
177	2703	12484
178	2718	12469
179	2733	12451
180	2747	12431
181	2760	12406
182	2773	12383
183	2786	12356
184	2817	12414
185	2835	12407
186	2850	12394
187	2866	12381
188	2879	12355
189	2897	12353
190	2914	12344
191	2927	12318
192	2939	12290
193	2951	12263
194	2965	12241
195	2977	12212
196	2989	12186
197	3003	12166
198	3017	12145
199	3030	12123
200	3044	12100
201	3058	12083
202	3070	12056
203	3103	12111
204	3123	12114
205	3144	12119
206	3163	12119
207	3180	12110
208	3200	12113
209	3218	12108
210	3234	12095
211	3250	12082
212	3267	12073
213	3284	12064
214	3306	12071
215	3319	12047
216	3336	12038
217	3350	12017
218	3363	11993
219	3375	11968
220	3388	11944
221	3403	11926
222	3417	11907
223	3430	11882
224	3443	11862
225	3456	11838
226	3469	11815
227	3482	11792
228	3496	11773
229	3516	11771
230	3529	11749
231	3542	11728
232	3555	11705
233	3568	11682
234	3584	11670
235	3597	11647
236	3611	11625
237	3626	11610
238	3640	11590
239	3652	11567
240	3665	11544
241	3677	11520
242	3690	11496
243	3707	11486
